title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
My Deer Friend Nokotan,"Comedy, Fantasy, Slice of Life",Twin Engine,12,2024,ONA,68,AniList
Words Bubble Up Like Soda Pop,"Romance, Slice of Life",Signal.MD,1,2021,MOVIE,74,AniList
The Day I Became a God,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",P.A.WORKS,12,2020,TV,65,AniList
The Case Study of Vanitas Part 2,"Action, Drama, Fantasy, Mystery, Supernatural",bones,12,2022,TV,81,AniList
The Slime Diaries,"Adventure, Comedy, Fantasy, Slice of Life",8-bit,12,2021,TV,74,AniList
After the Rain,"Drama, Romance, Slice of Life",WIT STUDIO,12,2018,TV,73,AniList
Princess Connect! Re:Dive,"Adventure, Comedy, Fantasy",CygamesPictures,13,2020,TV,69,AniList
Oreimo 2,"Comedy, Romance, Slice of Life",Aniplex,13,2013,TV,65,AniList
"Hensuki: Are you willing to fall in love with a pervert, as long as she’s a cutie?","Comedy, Ecchi, Mystery, Romance",GEEKTOYS,12,2019,TV,62,AniList
Insomniacs After School,"Romance, Slice of Life",Pony Canyon,13,2023,TV,79,AniList
To Your Eternity Season 2,"Adventure, Drama, Fantasy, Psychological, Supernatural",Drive,20,2022,TV,79,AniList
The Disastrous Life of Saiki K.: Reawakened,"Comedy, Slice of Life, Supernatural",J.C.STAFF,6,2019,ONA,81,AniList
Noblesse,"Action, Supernatural",Production I.G,13,2020,TV,65,AniList
Code Geass: Lelouch of the Re;surrection,"Action, Drama, Mecha, Sci-Fi",Sunrise,1,2019,MOVIE,77,AniList
Real Girl,"Comedy, Drama, Romance, Slice of Life",Hoods Entertainment,12,2018,TV,65,AniList
Armed Girl's Machiavellism,"Action, Comedy, Ecchi, Romance",SILVER LINK.,12,2017,TV,66,AniList
Undefeated Bahamut Chronicle,"Action, Ecchi, Fantasy, Mecha, Romance, Supernatural",Lerche,12,2016,TV,62,AniList
Wagnaria!!,"Comedy, Slice of Life",Aniplex,13,2010,TV,74,AniList
Isekai Cheat Magician,"Action, Adventure, Fantasy",Encourage Films,12,2019,TV,52,AniList
"DON'T TOY WITH ME, MISS NAGATORO 2nd Attack","Comedy, Romance, Slice of Life",OLM,12,2023,TV,74,AniList
Space Dandy,"Comedy, Sci-Fi",bones,13,2014,TV,77,AniList
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"Action, Adventure, Comedy, Fantasy",8-bit,1,2022,MOVIE,77,AniList
Dragon Ball Z Kai,"Action, Adventure, Comedy",Toei Animation,97,2009,TV,76,AniList
Attack on Titan: Lost Girls,"Action, Drama, Fantasy, Mystery",WIT STUDIO,3,2017,OVA,76,AniList
HELLO WORLD,"Drama, Psychological, Romance, Sci-Fi",Graphinica,1,2019,MOVIE,73,AniList
I'm Standing on a Million Lives,"Action, Drama, Fantasy",Maho Film,12,2020,TV,63,AniList
Heaven's Lost Property,"Comedy, Ecchi, Romance, Sci-Fi, Slice of Life, Supernatural",AIC A.S.T.A.,13,2009,TV,67,AniList
Rage of Bahamut: Genesis,"Action, Adventure, Fantasy, Supernatural",MAPPA,12,2014,TV,74,AniList
Teasing Master Takagi-san Season 2,"Comedy, Romance, Slice of Life",Shin-Ei Animation,12,2019,TV,79,AniList
One-Punch Man: Road to Hero,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,1,2015,OVA,75,AniList
My Mental Choices Are Completely Interfering With My School Romantic Comedy,"Comedy, Ecchi, Romance, Supernatural",diomedéa,10,2013,TV,67,AniList
Cells at Work!!,"Action, Comedy, Sci-Fi",David Production,8,2021,TV,72,AniList
Full Metal Panic!,"Action, Comedy, Mecha, Sci-Fi",GONZO,24,2002,TV,72,AniList
The Seven Deadly Sins the Movie: Prisoners of the Sky,"Action, Adventure, Fantasy",A-1 Pictures,1,2018,MOVIE,69,AniList
When They Cry Kai,"Horror, Mystery, Psychological, Supernatural, Thriller",NBCUniversal Entertainment Japan,24,2007,TV,80,AniList
Danganronpa 3: The End of Hope’s Peak High School - Future Arc,"Action, Horror, Mystery, Psychological, Sci-Fi, Thriller",Lerche,12,2016,TV,68,AniList
YuruYuri,"Comedy, Slice of Life",TV Tokyo,12,2011,TV,74,AniList
The Eden of Grisaia,"Action, Drama, Ecchi, Romance",8-bit,10,2015,TV,75,AniList
Kino's Journey,"Adventure, Drama, Fantasy, Psychological, Slice of Life",WOWOW,13,2003,TV,81,AniList
