title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Mysterious Girlfriend X,"Ecchi, Mystery, Romance",Starchild Records,13,2012,TV,69,AniList
Blade Dance of the Elementalers,"Action, Comedy, Ecchi, Fantasy, Romance, Supernatural",TNK,12,2014,TV,62,AniList
The Troubled Life of Miss Kotoura,"Comedy, Drama, Romance",AIC,12,2013,TV,68,AniList
Sound! Euphonium 2,"Drama, Music, Slice of Life",Kyoto Animation,13,2016,TV,83,AniList
HAIKYU!! The Dumpster Battle,"Comedy, Drama, Sports",Toho,1,2024,MOVIE,86,AniList
"Love, Chunibyo & Other Delusions: Glimmering...Explosive Festival (Slapstick Noel)","Comedy, Romance, Slice of Life",Kyoto Animation,1,2013,OVA,73,AniList
"The Familiar of Zero: ""Rondo"" of Princesses","Action, Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,12,2008,TV,69,AniList
The Familiar of Zero F,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,12,2012,TV,70,AniList
Arakawa Under the Bridge,"Comedy, Romance",Shaft,13,2010,TV,74,AniList
Record of Grancrest War,"Action, Fantasy, Romance",A-1 Pictures,24,2018,TV,68,AniList
One Week Friends,"Comedy, Drama, Romance, Slice of Life",Brain's Base,12,2014,TV,73,AniList
Adachi and Shimamura,"Romance, Slice of Life",Tezuka Productions,12,2020,TV,70,AniList
Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up),"Comedy, Fantasy, Romance, Slice of Life",Kyoto Animation,1,2017,OVA,76,AniList
Date A Live IV,"Action, Comedy, Ecchi, Mecha, Romance, Sci-Fi",GEEKTOYS,12,2022,TV,76,AniList
NEW GAME!!,"Comedy, Slice of Life",Doga Kobo,12,2017,TV,76,AniList
Sword of the Stranger,"Action, Adventure",bones,1,2007,MOVIE,79,AniList
The Cat Returns,"Adventure, Comedy, Drama, Fantasy",Studio Ghibli,1,2002,MOVIE,75,AniList
Case Closed,"Adventure, Comedy, Mystery, Psychological",TMS Entertainment,,1996,TV,81,AniList
No Longer Allowed in Another World,"Comedy, Fantasy, Romance, Slice of Life, Supernatural",KADOKAWA,12,2024,TV,71,AniList
Hitoribocchi no Marumaruseikatsu,"Comedy, Slice of Life",C2C,12,2019,TV,73,AniList
World's End Harem,"Ecchi, Sci-Fi",AXsiZ,11,2022,TV,55,AniList
Revolutionary Girl Utena,"Drama, Fantasy, Mystery, Psychological, Romance",J.C.STAFF,39,1997,TV,82,AniList
My Teen Romantic Comedy SNAFU OVA,"Comedy, Romance, Slice of Life",Brain's Base,1,2013,OVA,74,AniList
The Stranger by the Shore,"Drama, Romance, Slice of Life",Studio Hibari,1,2020,MOVIE,77,AniList
Flying Witch,"Slice of Life, Supernatural",J.C.STAFF,12,2016,TV,74,AniList
Hell Girl,"Drama, Horror, Mystery, Psychological, Supernatural",Aniplex,26,2005,TV,71,AniList
Anohana the Movie: The Flower We Saw That Day,"Drama, Romance, Slice of Life, Supernatural",Aniplex,1,2013,MOVIE,75,AniList
The Elusive Samurai,"Action, Adventure, Supernatural",CloverWorks,12,2024,TV,77,AniList
Campione!,"Comedy, Ecchi, Romance",diomedéa,13,2012,TV,64,AniList
Brynhildr in the Darkness,"Drama, Fantasy, Mystery, Sci-Fi",Arms,13,2014,TV,63,AniList
My Next Life as a Villainess: All Routes Lead to Doom! X,"Comedy, Fantasy, Romance, Slice of Life",SILVER LINK.,12,2021,TV,71,AniList
Aria the Scarlet Ammo,"Action, Comedy, Ecchi, Romance",J.C.STAFF,12,2011,TV,63,AniList
The Heroic Legend of Arslan,"Action, Adventure, Drama, Fantasy",LIDENFILMS,25,2015,TV,73,AniList
Place to Place,"Comedy, Romance, Slice of Life",AIC,12,2012,TV,72,AniList
JUNI TAISEN：ZODIAC WAR,"Action, Thriller",Graphinica,12,2017,TV,62,AniList
Sekirei,"Action, Comedy, Ecchi",Aniplex,12,2008,TV,65,AniList
Parallel World Pharmacy,Fantasy,KADOKAWA,12,2022,TV,72,AniList
Alderamin on the Sky,"Action, Adventure, Drama, Fantasy",MADHOUSE,13,2016,TV,73,AniList
Fireworks,"Drama, Romance, Supernatural",Shaft,1,2017,MOVIE,59,AniList
KamiKatsu: Working for God in a Godless World,"Action, Comedy, Drama, Ecchi, Fantasy",Studio Palette,12,2023,TV,65,AniList
I Was Reincarnated as the 7th Prince So I Can Take My Time Perfecting My Magical Ability,"Action, Adventure, Fantasy",Tsumugi Akita Anime Lab,12,2024,TV,74,AniList
The Girl I Like Forgot Her Glasses,"Comedy, Romance",GoHands,13,2023,TV,68,AniList
The 8th Son? Are You Kidding Me?,"Adventure, Fantasy",SynergySP,12,2020,TV,61,AniList
Pandora Hearts,"Adventure, Fantasy, Supernatural",Xebec,25,2009,TV,72,AniList
Sleepy Princess in the Demon Castle,"Comedy, Fantasy, Slice of Life",Doga Kobo,12,2020,TV,78,AniList
Kaze no Stigma,"Action, Drama, Fantasy, Romance",GONZO,24,2007,TV,67,AniList
Mushoku Tensei: Jobless Reincarnation Cour 2 - Eris the Goblin Slayer,"Adventure, Drama, Fantasy",Studio Bind,1,2022,SPECIAL,78,AniList
The Ancient Magus' Bride: Those Awaiting a Star,"Drama, Fantasy",WIT STUDIO,3,2016,OVA,79,AniList
A Certain Magical Index III,"Action, Sci-Fi, Supernatural",J.C.STAFF,26,2018,TV,66,AniList
Restaurant to Another World,"Fantasy, Slice of Life",SILVER LINK.,12,2017,TV,72,AniList
MAGICAL GIRL SITE,"Action, Drama, Horror, Mahou Shoujo, Psychological, Supernatural",production doA,12,2018,TV,60,AniList
Boogiepop and Others,"Horror, Mystery, Psychological",MADHOUSE,18,2019,TV,68,AniList
Chillin' in Another World with Level 2 Super Cheat Powers,"Adventure, Fantasy, Romance",OVERLAP,12,2024,TV,68,AniList
Tales of Zestiria the X,"Action, Adventure, Fantasy",ufotable,13,2016,TV,69,AniList
"Demon Lord, Retry!","Action, Adventure, Comedy, Fantasy",EKACHI EPILKA,12,2019,TV,62,AniList
My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,"Action, Adventure, Comedy, Fantasy",REVOROOT,12,2022,TV,61,AniList
Sasaki and Miyano,"Comedy, Romance, Slice of Life",Studio DEEN,12,2022,TV,81,AniList
Harem in the Labyrinth of Another World,"Drama, Ecchi, Fantasy, Romance",Passione,12,2022,TV,63,AniList
Berserk (2016),"Action, Adventure, Drama, Fantasy, Horror, Supernatural",Millepensee,12,2016,TV,55,AniList
PSYCHO-PASS 3,"Action, Psychological, Sci-Fi, Thriller",Production I.G,8,2019,TV,73,AniList
My Girlfriend is Shobitch,"Comedy, Ecchi, Romance",diomedéa,10,2017,TV,58,AniList
Ghost Stories,"Horror, Mystery, Supernatural",Studio Pierrot,19,2000,TV,74,AniList
Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,"Action, Adventure, Drama, Fantasy",Seven Arcs,12,2024,TV,64,AniList
Masamune-kun's Revenge R,"Comedy, Romance, Slice of Life",FuRyu,12,2023,TV,72,AniList
Gargantia on the Verdurous Planet,"Action, Adventure, Mecha, Sci-Fi",Production I.G,13,2013,TV,72,AniList
Tokyo Magnitude 8.0,Drama,bones,11,2009,TV,77,AniList
The Kingdoms of Ruin,"Action, Drama, Fantasy",Yokohama Animation Lab,12,2023,TV,61,AniList
Urusei Yatsura (2022),"Comedy, Romance, Sci-Fi, Supernatural",David Production,23,2022,TV,72,AniList
Children of the Whales,"Adventure, Drama, Fantasy, Mystery, Romance, Sci-Fi",J.C.STAFF,12,2017,TV,69,AniList
Anti-Magic Academy: The 35th Test Platoon,"Action, Ecchi, Fantasy, Romance",SILVER LINK.,12,2015,TV,64,AniList
Hi Score Girl,"Comedy, Drama, Romance",J.C.STAFF,12,2018,TV,75,AniList
Dragon Ball Z: Battle of Gods,"Action, Adventure, Comedy, Sci-Fi",Toei Animation,1,2013,MOVIE,71,AniList
Tokyo Revengers Season 2 Part 2,"Action, Drama, Romance, Supernatural",Pony Canyon,13,2023,TV,77,AniList
Porco Rosso,"Action, Adventure, Comedy, Drama, Romance",Studio Ghibli,1,1992,MOVIE,78,AniList
"I Couldn’t Become a Hero, So I Reluctantly Decided to Get a Job.","Comedy, Ecchi, Fantasy, Romance",Asread,12,2013,TV,64,AniList
Yamada's First Time: B Gata H Kei,"Comedy, Ecchi, Romance",Hal Film Maker,12,2010,TV,64,AniList
ZOMBIE LAND SAGA REVENGE,"Comedy, Music, Supernatural",MAPPA,12,2021,TV,79,AniList
My Teen Romantic Comedy SNAFU TOO! OVA,"Comedy, Romance, Slice of Life",feel.,1,2016,OVA,78,AniList
Diabolik Lovers,"Drama, Horror, Romance, Supernatural",Frontier Works,12,2013,TV_SHORT,45,AniList
Silver Spoon,"Comedy, Slice of Life",Aniplex,11,2013,TV,79,AniList
Fate/kaleid liner Prisma☆Illya,"Action, Comedy, Ecchi, Fantasy, Mahou Shoujo",SILVER LINK.,10,2013,ONA,67,AniList
Ninja Kamui,"Action, Adventure, Drama, Sci-Fi",E&H Production,13,2024,TV,65,AniList
The Saint's Magic Power is Omnipotent,"Fantasy, Romance, Slice of Life",diomedéa,12,2021,TV,71,AniList
Princess Principal,"Action, Adventure, Sci-Fi",Studio 3Hz,12,2017,TV,75,AniList
Sakura Trick,"Comedy, Romance, Slice of Life",Studio DEEN,12,2014,TV,66,AniList
Sirius the Jaeger,"Action, Supernatural",P.A.WORKS,12,2018,TV,68,AniList
Wotaku ni Koi wa Muzukashii OVA,"Comedy, Romance, Slice of Life",A-1 Pictures,3,2019,OVA,79,AniList
Road to Ninja: Naruto the Movie,"Action, Adventure",Studio Pierrot,1,2012,MOVIE,74,AniList
I've Always Liked You,"Drama, Romance, Slice of Life",Qualia Animation,1,2016,MOVIE,70,AniList
Is the Order a Rabbit?,Slice of Life,WHITE FOX,12,2014,TV,73,AniList
Little Busters!,"Comedy, Drama, Slice of Life, Supernatural",J.C.STAFF,26,2012,TV,72,AniList
Ground Control to Psychoelectric Girl,"Comedy, Slice of Life",Shaft,12,2011,TV,68,AniList
Attack on Titan: Junior High,"Comedy, Fantasy, Slice of Life",Production I.G,12,2015,TV,69,AniList
My Wife is the Student Council President,"Comedy, Ecchi, Romance",Seven,12,2015,TV_SHORT,61,AniList
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"Action, Adventure, Drama, Supernatural",Aniplex,3,2025,MOVIE,,AniList
By the Grace of the Gods,"Adventure, Fantasy, Slice of Life",Maho Film,12,2020,TV,68,AniList
A Certain Scientific Railgun T,"Action, Sci-Fi",J.C.STAFF,25,2020,TV,81,AniList
A Certain Scientific Accelerator,"Action, Sci-Fi",J.C.STAFF,12,2019,TV,70,AniList
Digimon: Digital Monsters,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",Toei Animation,54,1999,TV,75,AniList
Ben-To,"Action, Comedy, Ecchi",AT-X,12,2011,TV,68,AniList
Liz and the Blue Bird,"Drama, Music, Slice of Life",Kyoto Animation,1,2018,MOVIE,83,AniList
Motto To Love Ru,"Comedy, Ecchi, Romance, Sci-Fi",Xebec,12,2010,TV,69,AniList
One Piece Film: Red,"Action, Adventure, Comedy, Drama, Fantasy, Music",Toei Animation,1,2022,MOVIE,78,AniList
Fate/Grand Order: First Order,"Action, Fantasy",Lay-duce,1,2016,SPECIAL,65,AniList
The Tale of The Princess Kaguya,"Drama, Fantasy, Romance",Studio Ghibli,1,2013,MOVIE,81,AniList
Pop Team Epic,Comedy,Kamikaze Douga,12,2018,TV,69,AniList
Akebi’s Sailor Uniform,Slice of Life,CloverWorks,12,2022,TV,75,AniList
OniAi,"Comedy, Ecchi, Romance",Funimation,12,2012,TV,60,AniList
Log Horizon: Destruction of the Round Table,"Action, Adventure, Comedy, Fantasy",Studio DEEN,12,2021,TV,69,AniList
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,1,2019,MOVIE,73,AniList
Go! Go! Loser Ranger!,"Action, Comedy, Drama, Sci-Fi",Shouchiku,12,2024,TV,72,AniList
Mobile Suit Gundam: The Witch from Mercury,"Action, Mecha, Sci-Fi",Sunrise,12,2022,TV,78,AniList
Rosario + Vampire Capu2,"Comedy, Ecchi, Fantasy, Romance",GONZO,13,2008,TV,64,AniList
Grimoire of Zero,"Action, Drama, Fantasy",WHITE FOX,12,2017,TV,68,AniList
Pseudo Harem,"Comedy, Romance, Slice of Life",Nomad,12,2024,TV,76,AniList
Slam Dunk,"Comedy, Drama, Slice of Life, Sports",Toei Animation,101,1993,TV,83,AniList
The World God Only Knows: Goddesses,"Comedy, Romance, Supernatural",Manglobe,12,2013,TV,78,AniList
Beyond the Boundary -I'LL BE HERE-: Future,"Action, Drama, Fantasy, Romance, Slice of Life, Supernatural",Kyoto Animation,1,2015,MOVIE,79,AniList
