title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Code Geass: Lelouch of the Rebellion,"Action, Drama, Mecha, Sci-Fi, Thriller",Sunrise,25,2006-10,Tv,85,AniList
Bleach,"Action, Adventure, Supernatural",Studio Pierrot,366,2004-10,Tv,78,AniList
Death Parade,"Drama, Mystery, Psychological, Supernatural, Thriller",MADHOUSE,12,2015-01,Tv,80,AniList
Blue Exorcist,"Action, Fantasy, Supernatural",Aniplex,25,2011-04,Tv,72,AniList
Neon Genesis Evangelion,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",Gainax,26,1995-10,Tv,83,AniList
Spirited Away,"Adventure, Drama, Fantasy, Supernatural",Studio Ghibli,1,2001-07,Movie,86,AniList
JoJo's Bizarre Adventure (TV),"Action, Adventure, Supernatural",David Production,26,2012-10,Tv,77,AniList
Cowboy Bebop,"Action, Adventure, Drama, Sci-Fi",Sunrise,26,1998-04,Tv,86,AniList
One-Punch Man Season 2,"Action, Comedy, Sci-Fi, Supernatural",J.C.STAFF,12,2019-04,Tv,74,AniList
Fire Force,"Action, Drama, Sci-Fi, Supernatural",David Production,24,2019-07,Tv,76,AniList
Kakegurui,"Drama, Mystery, Psychological",MAPPA,12,2017-07,Tv,70,AniList
Sword Art Online II,"Action, Adventure, Fantasy, Sci-Fi",Aniplex,24,2014-07,Tv,65,AniList
Angel Beats!,"Action, Comedy, Drama, Supernatural",Aniplex,13,2010-04,Tv,77,AniList
The Rising of the Shield Hero,"Action, Adventure, Fantasy",Kinema Citrus,25,2019-01,Tv,77,AniList
Mob Psycho 100 II,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",bones,13,2019-01,Tv,88,AniList
Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,"Action, Adventure, Fantasy, Supernatural",ufotable,11,2021-12,Tv,86,AniList
Tokyo Revengers,"Action, Drama, Romance, Supernatural",LIDENFILMS,24,2021-04,Tv,77,AniList
The Future Diary,"Action, Horror, Mystery, Psychological, Supernatural, Thriller",Funimation,26,2011-10,Tv,68,AniList
Kaguya-sama: Love is War?,"Comedy, Psychological, Romance, Slice of Life",A-1 Pictures,12,2020-04,Tv,86,AniList
That Time I Got Reincarnated as a Slime,"Action, Adventure, Comedy, Fantasy",8-bit,24,2018-10,Tv,80,AniList
Charlotte,"Comedy, Drama, Romance, Sci-Fi, Supernatural",P.A.WORKS,13,2015-07,Tv,75,AniList
Kill la Kill,"Action, Comedy, Ecchi",Aniplex,24,2013-10,Tv,79,AniList
Bungo Stray Dogs,"Action, Comedy, Mystery, Supernatural",bones,12,2016-04,Tv,77,AniList
Classroom of the Elite,"Drama, Psychological",Lerche,12,2017-07,Tv,76,AniList
Mushoku Tensei: Jobless Reincarnation,"Adventure, Drama, Ecchi, Fantasy",Studio Bind,11,2021-01,Tv,82,AniList
Food Wars!,"Comedy, Ecchi",J.C.STAFF,24,2015-04,Tv,79,AniList
JUJUTSU KAISEN Season 2,"Action, Drama, Supernatural",MAPPA,23,2023-07,Tv,87,AniList
Anohana: The Flower We Saw That Day,"Drama, Romance, Slice of Life, Supernatural",Aniplex,11,2011-04,Tv,80,AniList
Tokyo Ghoul √A,"Action, Drama, Horror, Mystery, Psychological, Supernatural",Studio Pierrot,12,2015-01,Tv,66,AniList
Attack on Titan Final Season Part 2,"Action, Drama, Fantasy, Mystery, Psychological",MAPPA,12,2022-01,Tv,86,AniList
HAIKYU!! 2nd Season,"Comedy, Drama, Sports",Production I.G,25,2015-10,Tv,86,AniList
The Devil is a Part-Timer!,"Comedy, Fantasy, Romance, Slice of Life",Funimation,13,2013-04,Tv,75,AniList
My Hero Academia Season 5,"Action, Adventure, Comedy, Sci-Fi",bones,25,2021-03,Tv,73,AniList
Made in Abyss,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",Kinema Citrus,13,2017-07,Tv,85,AniList
Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,13,2015-04,Tv,73,AniList
Overlord,"Action, Adventure, Fantasy",MADHOUSE,13,2015-07,Tv,77,AniList
Another,"Horror, Mystery, Psychological, Supernatural, Thriller",Lantis,12,2012-01,Tv,70,AniList
JUJUTSU KAISEN 0,"Action, Supernatural",MAPPA,1,2021-12,Movie,84,AniList
Fairy Tail,"Action, Adventure, Comedy, Fantasy",TV Tokyo,175,2009-10,Tv,71,AniList
KONOSUBA -God's blessing on this wonderful world! 2,"Adventure, Comedy, Ecchi, Fantasy",Studio DEEN,10,2017-01,Tv,81,AniList
Soul Eater,"Action, Adventure, Comedy, Fantasy, Supernatural",bones,51,2008-04,Tv,77,AniList
My Teen Romantic Comedy SNAFU,"Comedy, Drama, Romance, Slice of Life",Brain's Base,13,2013-04,Tv,78,AniList
HAIKYU!! 3rd Season,"Comedy, Drama, Sports",Production I.G,10,2016-10,Tv,87,AniList
Assassination Classroom 2,"Action, Comedy, Drama, Supernatural",Lerche,25,2016-01,Tv,83,AniList
Dororo,"Action, Adventure, Drama, Supernatural",MAPPA,24,2019-01,Tv,81,AniList
Gurren Lagann,"Action, Comedy, Drama, Mecha, Romance, Sci-Fi",Gainax,27,2007-04,Tv,85,AniList
My Dress-Up Darling,"Comedy, Ecchi, Romance, Slice of Life",CloverWorks,12,2022-01,Tv,80,AniList
Solo Leveling,"Action, Adventure, Fantasy",A-1 Pictures,12,2024-01,Tv,82,AniList
PSYCHO-PASS,"Action, Psychological, Sci-Fi, Thriller",Production I.G,22,2012-10,Tv,81,AniList
