title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Talentless Nana,"Drama, Horror, Psychological, Supernatural, Thriller",Bridge,13,2020-10,Tv,70,AniList
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,"Action, Adventure, Comedy, Fantasy, Romance",Warner Bros. Japan,11,2022-07,Tv,77,AniList
"Science Fell in Love, So I Tried to Prove It","Comedy, Romance",Zero-G,12,2020-01,Ona,71,AniList
Magi: Adventure of Sinbad,"Action, Adventure, Fantasy",Lay-duce,13,2016-04,Tv,77,AniList
Dragon Ball Super: Broly,"Action, Adventure, Fantasy, Sci-Fi",Toei Animation,1,2018-12,Movie,80,AniList
Tamako -love story-,"Romance, Slice of Life",Kyoto Animation,1,2014-04,Movie,79,AniList
SHIROBAKO,"Comedy, Drama, Slice of Life",P.A.WORKS,24,2014-10,Tv,82,AniList
Combatants Will Be Dispatched!,"Action, Adventure, Comedy, Ecchi, Fantasy, Sci-Fi",J.C.STAFF,12,2021-04,Tv,68,AniList
Is this a Zombie?,"Action, Comedy, Ecchi, Supernatural",Studio DEEN,12,2011-01,Tv,69,AniList
Summer Wars,"Action, Comedy, Drama, Romance, Sci-Fi",MADHOUSE,1,2009-08,Movie,77,AniList
D.Gray-man,"Action, Adventure, Drama, Fantasy",TV Tokyo,103,2006-10,Tv,76,AniList
NieR:Automata Ver1.1a,"Action, Drama, Fantasy, Psychological, Sci-Fi",Aniplex,12,2023-01,Tv,73,AniList
Steins;Gate: Egoistic Poriomania,"Comedy, Romance, Sci-Fi",Frontier Works,1,2012-02,Ova,80,AniList
Claymore,"Action, Adventure, Fantasy, Horror",MADHOUSE,26,2007-04,Tv,73,AniList
Wistoria: Wand and Sword,"Action, Comedy, Drama, Fantasy",Actas,12,2024-07,Tv,78,AniList
LOVE and LIES,"Drama, Romance",LIDENFILMS,12,2017-07,Tv,62,AniList
BLEACH: Thousand-Year Blood War - The Separation,"Action, Adventure, Supernatural",Studio Pierrot,13,2023-07,Tv,86,AniList
Puella Magi Madoka Magica the Movie Part III: Rebellion,"Drama, Fantasy, Mahou Shoujo, Mystery, Psychological, Thriller",Aniplex,1,2013-10,Movie,84,AniList
Undead Unluck,"Action, Comedy, Sci-Fi, Supernatural",David Production,24,2023-10,Tv,77,AniList
KONOSUBA -An Explosion on This Wonderful World!,"Adventure, Comedy, Fantasy",KADOKAWA,12,2023-04,Tv,74,AniList
World Trigger,"Action, Sci-Fi",Toei Animation,73,2014-10,Tv,72,AniList
Fate/stay night [Heaven’s Feel] III. spring song,"Action, Drama, Fantasy, Psychological, Supernatural, Thriller",ufotable,1,2020-08,Movie,85,AniList
Durarara!! X2,"Action, Mystery, Supernatural",Shuka,12,2015-01,Tv,78,AniList
Kimi ni Todoke: From Me to You Season 2,"Comedy, Drama, Romance, Slice of Life",Production I.G,13,2011-01,Tv,79,AniList
The Irregular at Magic High School: Visitor Arc,"Action, Romance, Sci-Fi, Supernatural",8-bit,13,2020-10,Tv,72,AniList
Buddy Daddies,"Action, Comedy, Drama, Slice of Life",P.A.WORKS,12,2023-01,Tv,80,AniList
BLUE LOCK Season 2,"Action, Drama, Sports",8-bit,14,2024-10,Tv,75,AniList
God Eater,"Action, Sci-Fi",ufotable,13,2015-07,Tv,68,AniList
A Sign of Affection,"Romance, Slice of Life",Ajiado,12,2024-01,Tv,82,AniList
Evangelion: 3.0+1.0 Thrice Upon a Time,"Action, Drama, Mecha, Psychological, Sci-Fi",Studio Khara,1,2021-03,Movie,85,AniList
Record of Ragnarok,"Action, Drama, Fantasy, Supernatural",Graphinica,12,2021-06,Ona,67,AniList
Eden of the East,"Drama, Mystery, Psychological, Romance, Sci-Fi, Thriller",Production I.G,11,2009-04,Tv,74,AniList
the Garden of sinners Chapter 1: Thanatos. (Overlooking View),"Action, Mystery, Supernatural, Thriller",Aniplex,1,2007-12,Movie,73,AniList
Violet Evergarden: Special,"Drama, Fantasy, Romance, Slice of Life",Kyoto Animation,1,2018-07,Ova,82,AniList
"Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside","Action, Adventure, Fantasy, Romance, Slice of Life",WolfsBane,13,2021-10,Tv,68,AniList
Tower of God Season 2,"Action, Adventure, Drama, Fantasy, Mystery",Crunchyroll,26,2024-07,Tv,67,AniList
Seitokai Yakuindomo,"Comedy, Slice of Life",Starchild Records,13,2010-07,Tv,73,AniList
WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?,"Drama, Fantasy, Mystery, Romance, Slice of Life, Supernatural",Satelight,12,2017-04,Tv,75,AniList
Promare,"Action, Mecha, Sci-Fi",TRIGGER,1,2019-05,Movie,78,AniList
KONOSUBA -God's blessing on this wonderful world! 2: God's Blessings on These Wonderful Works of Art!,"Adventure, Comedy, Fantasy",Studio DEEN,1,2017-07,Ova,78,AniList
ASSASSINS PRIDE,"Action, Comedy, Drama, Fantasy, Mystery, Romance",EMT Squared,12,2019-10,Tv,57,AniList
The Boy and The Beast,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",Studio Chizu,1,2015-07,Movie,79,AniList
Gintama Season 2,"Action, Comedy, Drama, Sci-Fi",Sunrise,51,2011-04,Tv,89,AniList
O Maidens in Your Savage Season,"Comedy, Drama, Romance, Slice of Life",Lay-duce,12,2019-07,Tv,72,AniList
Blood Blockade Battlefront & Beyond,"Action, Comedy, Supernatural",bones,12,2017-10,Tv,77,AniList
Kakushigoto,"Comedy, Slice of Life",Ajiado,12,2020-04,Tv,78,AniList
The Helpful Fox Senko-san,"Comedy, Fantasy, Slice of Life, Supernatural",Doga Kobo,12,2019-04,Tv,71,AniList
Date A Live III,"Action, Comedy, Ecchi, Fantasy, Mecha, Romance, Sci-Fi",J.C.STAFF,12,2019-01,Tv,70,AniList
Initial D 1st Stage,"Action, Drama, Sports",OB Planning,26,1998-04,Tv,82,AniList
GOBLIN SLAYER II,"Action, Adventure, Fantasy",LIDENFILMS,12,2023-10,Tv,71,AniList
Interspecies Reviewers,"Comedy, Ecchi, Fantasy",Passione,12,2020-01,Tv,72,AniList
Boarding School Juliet,"Comedy, Romance",LIDENFILMS,12,2018-10,Tv,72,AniList
My Senpai is Annoying,"Comedy, Romance, Slice of Life",Doga Kobo,12,2021-10,Tv,75,AniList
Dr. STONE New World Part 2,"Action, Adventure, Comedy, Sci-Fi",TMS Entertainment,11,2023-10,Tv,83,AniList
Redline,"Action, Romance, Sci-Fi, Sports",MADHOUSE,1,2009-08,Movie,81,AniList
Remake Our Life!,"Drama, Romance, Slice of Life",feel.,12,2021-07,Tv,72,AniList
ISEKAI QUARTET,"Comedy, Fantasy, Slice of Life",Studio PuYUKAI,12,2019-04,Tv Short,72,AniList
"Why the hell are you here, Teacher!?","Comedy, Ecchi, Romance",Tear-Studio,12,2019-04,Tv Short,62,AniList
When Supernatural Battles Became Commonplace,"Comedy, Fantasy, Romance, Slice of Life, Supernatural",TRIGGER,12,2014-10,Tv,68,AniList
Maoyu: Archenemy & Hero,"Adventure, Fantasy, Romance",Arms,12,2013-01,Tv,70,AniList
Re:ZERO -Starting Life in Another World- OVAs,"Comedy, Drama, Fantasy, Psychological",WHITE FOX,2,2018-10,Ova,76,AniList
kiss×sis (TV),"Comedy, Ecchi, Romance, Slice of Life",feel.,12,2010-04,Tv,59,AniList
ALDNOAH.ZERO,"Action, Mecha, Sci-Fi",A-1 Pictures,12,2014-07,Tv,70,AniList
Keijo!!!!!!!!,"Comedy, Ecchi, Sports",Xebec,12,2016-10,Tv,67,AniList
The Wind Rises,"Drama, Romance",Studio Ghibli,1,2013-07,Movie,80,AniList
Beelzebub,"Action, Comedy, Supernatural",Studio Pierrot,60,2011-01,Tv,75,AniList
Dr. STONE Special Episode – RYUSUI,"Action, Adventure, Comedy, Sci-Fi",TMS Entertainment,1,2022-07,Special,81,AniList
Whisper of the Heart,"Adventure, Drama, Romance, Slice of Life",Studio Ghibli,1,1995-07,Movie,81,AniList
Haganai NEXT,"Comedy, Ecchi, Romance, Slice of Life",Funimation,12,2013-01,Tv,69,AniList
Carole & Tuesday,"Drama, Music, Sci-Fi",bones,24,2019-04,Tv,76,AniList
SSSS.GRIDMAN,"Action, Mecha, Sci-Fi",TRIGGER,12,2018-10,Tv,71,AniList
GOLDEN BOY,"Adventure, Comedy, Ecchi",KSS,6,1995-10,Ova,78,AniList
ReLIFE: Final Arc,"Comedy, Drama, Romance, Slice of Life",TMS Entertainment,4,2018-03,Ova,80,AniList
Saekano: How to Raise a Boring Girlfriend ♭,"Comedy, Romance, Slice of Life",A-1 Pictures,12,2017-04,Tv,76,AniList
Blue Box,"Romance, Slice of Life, Sports",Telecom Animation Film,25,2024-10,Ona,81,AniList
No.6,"Action, Drama, Psychological, Sci-Fi",bones,11,2011-07,Tv,72,AniList
Interviews with Monster Girls,"Slice of Life, Supernatural",A-1 Pictures,12,2017-01,Tv,74,AniList
Bunny Drop,Slice of Life,Production I.G,11,2011-07,Tv,81,AniList
A Certain Magical Index II,"Action, Sci-Fi, Supernatural",J.C.STAFF,24,2010-10,Tv,73,AniList
Nausicaä of the Valley of the Wind,"Action, Adventure, Drama, Fantasy, Sci-Fi",Studio Hibari,1,1984-03,Movie,81,AniList
"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You","Comedy, Ecchi, Romance",Bibury Animation Studios,12,2023-10,Tv,76,AniList
Ascendance of a Bookworm,"Fantasy, Slice of Life",Ajiado,14,2019-10,Tv,78,AniList
JoJo's Bizarre Adventure: STONE OCEAN Part 2,"Action, Adventure, Drama, Supernatural",David Production,26,2022-09,Ona,82,AniList
Black Butler II,"Action, Comedy, Fantasy, Mystery, Supernatural",Aniplex,12,2010-07,Tv,66,AniList
Ya Boy Kongming!,"Comedy, Drama, Music, Supernatural",P.A.WORKS,12,2022-03,Tv,80,AniList
The Secret World of Arrietty,"Adventure, Drama, Fantasy",Studio Ghibli,1,2010-07,Movie,77,AniList
A Sister's All You Need.,"Comedy, Ecchi, Romance, Slice of Life",SILVER LINK.,12,2017-10,Tv,70,AniList
Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,"Action, Fantasy, Mecha, Romance",KADOKAWA,12,2022-04,Tv,71,AniList
The Asterisk War 2,"Action, Ecchi, Fantasy, Sci-Fi",A-1 Pictures,12,2016-04,Tv,67,AniList
Black Lagoon: The Second Barrage,"Action, Adventure, Drama, Thriller",MADHOUSE,12,2006-10,Tv,80,AniList
Mekakucity Actors,"Comedy, Romance, Sci-Fi, Supernatural",Shaft,12,2014-04,Tv,66,AniList
B: The Beginning,"Action, Mystery, Psychological, Supernatural, Thriller",Production I.G,12,2018-03,Ona,69,AniList
Panty & Stocking with Garterbelt,"Action, Comedy, Ecchi, Supernatural",Gainax,13,2010-10,Tv,75,AniList
Little Witch Academia,"Comedy, Fantasy",TRIGGER,1,2013-03,Movie,76,AniList
"Kiss Him, Not Me","Comedy, Romance",Brain's Base,12,2016-10,Tv,65,AniList
Sailor Moon,"Action, Adventure, Fantasy, Mahou Shoujo, Romance",Toei Animation,46,1992-03,Tv,76,AniList
Yosuga no Sora: In Solitude Where We are Least Alone,"Drama, Ecchi, Romance",feel.,12,2010-10,Tv,55,AniList
Makeine: Too Many Losing Heroines!,"Comedy, Romance",Aniplex,12,2024-07,Tv,81,AniList
Wolf Girl and Black Prince,"Comedy, Romance, Slice of Life",TYO Animations,12,2014-10,Tv,66,AniList
Engaged to the Unidentified,"Comedy, Romance, Slice of Life",Doga Kobo,12,2014-01,Tv,71,AniList
Tokyo Ravens,"Action, Comedy, Supernatural",8-bit,24,2013-10,Tv,71,AniList
School Babysitters,"Comedy, Slice of Life",Brain's Base,12,2018-01,Tv,78,AniList
Bungo Stray Dogs 4,"Action, Comedy, Mystery, Supernatural",bones,13,2023-01,Tv,84,AniList
Mayo Chiki!,"Comedy, Ecchi, Romance",feel.,13,2011-07,Tv,69,AniList
Our Last Crusade or the Rise of a New World,"Action, Fantasy, Romance",SILVER LINK.,12,2020-10,Tv,65,AniList
Happy Sugar Life,"Drama, Horror, Mystery, Psychological, Romance",Ezo’la,12,2018-07,Tv,65,AniList
DECA-DENCE,"Action, Adventure, Sci-Fi",NUT,12,2020-07,Tv,71,AniList
"SING ""YESTERDAY"" FOR ME","Drama, Romance, Slice of Life",Doga Kobo,12,2020-04,Tv,67,AniList
The Quintessential Quintuplets Movie,"Comedy, Drama, Romance, Slice of Life",Bibury Animation Studios,1,2022-05,Movie,78,AniList
ASTRA LOST IN SPACE,"Adventure, Mystery, Sci-Fi",Lerche,12,2019-07,Tv,78,AniList
Cardcaptor Sakura,"Comedy, Drama, Fantasy, Mahou Shoujo, Romance",MADHOUSE,70,1998-04,Tv,80,AniList
SHADOWS HOUSE,"Fantasy, Horror, Mystery, Slice of Life, Supernatural",CloverWorks,13,2021-04,Tv,77,AniList
BURN THE WITCH,"Action, Fantasy",Studio Colorido,3,2020-10,Ona,70,AniList
Boruto: Naruto the Movie,"Action, Adventure, Comedy",Studio Pierrot,1,2015-08,Movie,70,AniList
Reincarnated as a Sword,"Action, Adventure, Fantasy",C2C,12,2022-09,Ona,74,AniList
Spice and Wolf II,"Adventure, Fantasy, Romance, Slice of Life",Imagin,12,2009-07,Tv,81,AniList
Azumanga Daioh,"Comedy, Slice of Life",J.C.STAFF,26,2002-04,Tv,79,AniList
The Genius Prince's Guide to Raising a Nation Out of Debt,"Comedy, Fantasy",Yokohama Animation Lab,12,2022-01,Tv,72,AniList
Fruits Basket,"Comedy, Drama, Romance, Slice of Life, Supernatural",Studio DEEN,26,2001-07,Tv,74,AniList
The Faraway Paladin,"Action, Adventure, Fantasy, Mystery, Psychological",Children's Playground Entertainment,12,2021-10,Tv,68,AniList
The Anthem of the Heart,"Drama, Music, Romance, Slice of Life, Supernatural",A-1 Pictures,1,2015-09,Movie,76,AniList
Demon King Daimao,"Action, Comedy, Ecchi, Fantasy",Artland,12,2010-04,Tv,62,AniList
Vampire Knight,"Drama, Mystery, Romance, Supernatural",Aniplex,13,2008-04,Tv,62,AniList
IRODUKU: The World in Colors,"Drama, Romance, Slice of Life, Supernatural",P.A.WORKS,13,2018-10,Tv,73,AniList
Kono Oto Tomare!: Sounds of Life,"Drama, Music, Romance, Slice of Life",Platinum Vision,13,2019-04,Tv,78,AniList
Kids on the Slope,"Drama, Music, Romance, Slice of Life",Dentsu,12,2012-04,Tv,80,AniList
Ride Your Wave,"Drama, Fantasy, Romance",Science SARU,1,2019-06,Movie,75,AniList
A Certain Scientific Railgun S,"Action, Fantasy, Sci-Fi",J.C.STAFF,24,2013-04,Tv,79,AniList
Hentai Prince & the Stony Cat,"Comedy, Romance, Supernatural",J.C.STAFF,12,2013-04,Tv,68,AniList
I'm Quitting Heroing,"Action, Adventure, Comedy, Fantasy",EMT Squared,12,2022-04,Tv,69,AniList
Skeleton Knight in Another World,"Action, Adventure, Comedy, Fantasy",Studio KAI,12,2022-04,Tv,70,AniList
Shakugan no Shana,"Action, Comedy, Drama, Fantasy, Romance, Supernatural",J.C.STAFF,24,2005-10,Tv,70,AniList
The Greatest Demon Lord Is Reborn as a Typical Nobody,"Action, Ecchi, Fantasy, Romance",SILVER LINK.,12,2022-04,Tv,62,AniList
My Stepmom's Daughter is My Ex,"Comedy, Romance",project No.9,12,2022-07,Tv,66,AniList
Somali and the Forest Spirit,"Adventure, Drama, Fantasy, Slice of Life",Satelight,12,2020-01,Tv,76,AniList
Sword Art Online the Movie -Progressive- Aria of a Starless Night,"Action, Adventure, Fantasy, Romance",A-1 Pictures,1,2021-10,Movie,78,AniList
A Couple of Cuckoos,"Comedy, Romance",Shin-Ei Animation,24,2022-04,Tv,67,AniList
GOBLIN SLAYER -GOBLIN’S CROWN-,"Action, Adventure, Fantasy",WHITE FOX,1,2020-02,Movie,71,AniList
Inu X Boku Secret Service,"Comedy, Romance, Supernatural",Aniplex,12,2012-01,Tv,70,AniList
Given The Movie,"Drama, Music, Romance",Lerche,1,2020-08,Movie,80,AniList
Run with the Wind,"Drama, Sports",Production I.G,23,2018-10,Tv,83,AniList
The Wrong Way to Use Healing Magic,"Action, Fantasy",Shin-Ei Animation,13,2024-01,Tv,75,AniList
TSUKIMICHI -Moonlit Fantasy- Season 2,"Action, Adventure, Comedy, Fantasy",J.C.STAFF,25,2024-01,Tv,78,AniList
REBORN!,"Action, Comedy",Artland,203,2006-10,Tv,76,AniList
Blood-C,"Action, Horror, Mystery, Supernatural",Production I.G,12,2011-07,Tv,61,AniList
Welcome to Demon School! Iruma-kun Season 2,"Comedy, Fantasy, Supernatural",Bandai Namco Pictures,21,2021-04,Tv,80,AniList
Kaiji - Ultimate Survivor,"Psychological, Thriller",MADHOUSE,26,2007-10,Tv,82,AniList
My Hero Academia: World Heroes' Mission,"Action, Adventure, Sci-Fi",bones,1,2021-08,Movie,76,AniList
Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,"Action, Adventure, Comedy, Fantasy",J.C.STAFF,12,2017-04,Tv,67,AniList
Vermeil in Gold,"Ecchi, Fantasy, Romance",Staple Entertainment,12,2022-07,Tv,67,AniList
My Deer Friend Nokotan,"Comedy, Fantasy, Slice of Life",Twin Engine,12,2024-07,Ona,68,AniList
Words Bubble Up Like Soda Pop,"Romance, Slice of Life",Signal.MD,1,2021-07,Movie,74,AniList
The Day I Became a God,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",P.A.WORKS,12,2020-10,Tv,65,AniList
The Case Study of Vanitas Part 2,"Action, Drama, Fantasy, Mystery, Supernatural",bones,12,2022-01,Tv,81,AniList
The Slime Diaries,"Adventure, Comedy, Fantasy, Slice of Life",8-bit,12,2021-04,Tv,74,AniList
After the Rain,"Drama, Romance, Slice of Life",WIT STUDIO,12,2018-01,Tv,73,AniList
Princess Connect! Re:Dive,"Adventure, Comedy, Fantasy",CygamesPictures,13,2020-04,Tv,69,AniList
Oreimo 2,"Comedy, Romance, Slice of Life",Aniplex,13,2013-04,Tv,65,AniList
"Hensuki: Are you willing to fall in love with a pervert, as long as she’s a cutie?","Comedy, Ecchi, Mystery, Romance",GEEKTOYS,12,2019-07,Tv,62,AniList
Insomniacs After School,"Romance, Slice of Life",Pony Canyon,13,2023-04,Tv,79,AniList
To Your Eternity Season 2,"Adventure, Drama, Fantasy, Psychological, Supernatural",Drive,20,2022-10,Tv,79,AniList
The Disastrous Life of Saiki K.: Reawakened,"Comedy, Slice of Life, Supernatural",J.C.STAFF,6,2019-12,Ona,81,AniList
Noblesse,"Action, Supernatural",Production I.G,13,2020-10,Tv,65,AniList
Code Geass: Lelouch of the Re;surrection,"Action, Drama, Mecha, Sci-Fi",Sunrise,1,2019-02,Movie,77,AniList
Real Girl,"Comedy, Drama, Romance, Slice of Life",Hoods Entertainment,12,2018-04,Tv,65,AniList
Armed Girl's Machiavellism,"Action, Comedy, Ecchi, Romance",SILVER LINK.,12,2017-04,Tv,66,AniList
Undefeated Bahamut Chronicle,"Action, Ecchi, Fantasy, Mecha, Romance, Supernatural",Lerche,12,2016-01,Tv,62,AniList
Wagnaria!!,"Comedy, Slice of Life",Aniplex,13,2010-04,Tv,74,AniList
Isekai Cheat Magician,"Action, Adventure, Fantasy",Encourage Films,12,2019-07,Tv,52,AniList
"DON'T TOY WITH ME, MISS NAGATORO 2nd Attack","Comedy, Romance, Slice of Life",OLM,12,2023-01,Tv,74,AniList
Space Dandy,"Comedy, Sci-Fi",bones,13,2014-01,Tv,77,AniList
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"Action, Adventure, Comedy, Fantasy",8-bit,1,2022-11,Movie,77,AniList
Dragon Ball Z Kai,"Action, Adventure, Comedy",Toei Animation,97,2009-04,Tv,76,AniList
Attack on Titan: Lost Girls,"Action, Drama, Fantasy, Mystery",WIT STUDIO,3,2017-12,Ova,76,AniList
HELLO WORLD,"Drama, Psychological, Romance, Sci-Fi",Graphinica,1,2019-09,Movie,73,AniList
I'm Standing on a Million Lives,"Action, Drama, Fantasy",Maho Film,12,2020-10,Tv,63,AniList
Heaven's Lost Property,"Comedy, Ecchi, Romance, Sci-Fi, Slice of Life, Supernatural",AIC A.S.T.A.,13,2009-10,Tv,67,AniList
Rage of Bahamut: Genesis,"Action, Adventure, Fantasy, Supernatural",MAPPA,12,2014-10,Tv,74,AniList
Teasing Master Takagi-san Season 2,"Comedy, Romance, Slice of Life",Shin-Ei Animation,12,2019-07,Tv,79,AniList
One-Punch Man: Road to Hero,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,1,2015-12,Ova,75,AniList
My Mental Choices Are Completely Interfering With My School Romantic Comedy,"Comedy, Ecchi, Romance, Supernatural",diomedéa,10,2013-10,Tv,67,AniList
Cells at Work!!,"Action, Comedy, Sci-Fi",David Production,8,2021-01,Tv,72,AniList
Full Metal Panic!,"Action, Comedy, Mecha, Sci-Fi",GONZO,24,2002-01,Tv,72,AniList
The Seven Deadly Sins the Movie: Prisoners of the Sky,"Action, Adventure, Fantasy",A-1 Pictures,1,2018-08,Movie,69,AniList
When They Cry Kai,"Horror, Mystery, Psychological, Supernatural, Thriller",NBCUniversal Entertainment Japan,24,2007-07,Tv,80,AniList
Danganronpa 3: The End of Hope’s Peak High School - Future Arc,"Action, Horror, Mystery, Psychological, Sci-Fi, Thriller",Lerche,12,2016-07,Tv,68,AniList
YuruYuri,"Comedy, Slice of Life",TV Tokyo,12,2011-07,Tv,74,AniList
The Eden of Grisaia,"Action, Drama, Ecchi, Romance",8-bit,10,2015-04,Tv,75,AniList
Kino's Journey,"Adventure, Drama, Fantasy, Psychological, Slice of Life",WOWOW,13,2003-04,Tv,81,AniList
Free! -Eternal Summer-,"Comedy, Drama, Slice of Life, Sports",Kyoto Animation,13,2014-07,Tv,74,AniList
Haibane Renmei,"Drama, Fantasy, Mystery, Psychological, Slice of Life",Radix,13,2002-10,Tv,79,AniList
Saga of Tanya the Evil - the Movie -,"Action, Fantasy",NUT,1,2019-02,Movie,81,AniList
Love Tyrant,"Comedy, Ecchi, Romance, Supernatural",EMT Squared,12,2017-04,Tv,63,AniList
Ragna Crimson,"Action, Adventure, Fantasy, Mystery",SILVER LINK.,24,2023-10,Tv,74,AniList
Rainbow,"Drama, Psychological, Thriller",MADHOUSE,26,2010-04,Tv,81,AniList
Romantic Killer,"Comedy, Romance",domerica,12,2022-10,Ona,79,AniList
Fire Force Season 3,"Action, Drama, Sci-Fi, Supernatural",David Production,12,2025-04,Tv,78,AniList
Rurouni Kenshin,"Action, Adventure, Comedy, Drama, Romance",Studio Gallop,94,1996-01,Tv,79,AniList
Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,"Adventure, Comedy, Fantasy",LIDENFILMS,12,2021-01,Tv,62,AniList
Durarara!! X2 The Second Arc,"Action, Mystery, Supernatural",Shuka,12,2015-07,Tv,78,AniList
Campfire Cooking in Another World with my Absurd Skill,"Adventure, Comedy, Fantasy",MAPPA,12,2023-01,Tv,76,AniList
Spice and Wolf: MERCHANT MEETS THE WISE WOLF,"Adventure, Fantasy, Romance, Slice of Life",Toho,25,2024-04,Tv,79,AniList
Mononoke,"Fantasy, Horror, Mystery, Psychological, Supernatural",Toei Animation,12,2007-07,Tv,81,AniList
K-ON!: The Movie,"Comedy, Music, Slice of Life",Kyoto Animation,1,2011-12,Movie,83,AniList
The Future Diary: Redial,"Action, Psychological, Supernatural",Asread,1,2013-06,Ova,68,AniList
Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,"Action, Drama, Horror, Mystery, Psychological, Sci-Fi, Thriller",Lerche,11,2016-07,Tv,71,AniList
The King's Avatar,"Action, Drama",G.CMay Animation & Film,12,2017-04,Ona,75,AniList
Black Clover: Sword of the Wizard King,"Action, Adventure, Comedy, Fantasy",Shueisha,1,2023-06,Movie,80,AniList
Dusk Maiden of Amnesia,"Horror, Mystery, Romance, Supernatural",Media Factory,12,2012-04,Tv,75,AniList
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA,"Comedy, Ecchi, Romance, Slice of Life",Shueisha,1,2021-05,Ova,75,AniList
D-Frag!,Comedy,Brain's Base,12,2014-01,Tv,73,AniList
PLUTO,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",Studio M2,8,2023-10,Ona,84,AniList
Dead Mount Death Play,"Action, Fantasy, Supernatural, Thriller",GEEKTOYS,12,2023-04,Tv,72,AniList
Aesthetica of a Rogue Hero,"Action, Ecchi, Fantasy",Arms,12,2012-07,Tv,61,AniList
Bungo Stray Dogs: DEAD APPLE,"Action, Comedy, Mystery, Supernatural",bones,1,2018-03,Movie,78,AniList
The Disastrous Life of Saiki K. Season 3,"Comedy, Slice of Life, Supernatural",J.C.STAFF,1,2018-12,Special,81,AniList
The Familiar of Zero: Knight of the Twin Moons,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,12,2007-07,Tv,70,AniList
Kamisama Kiss◎,"Comedy, Fantasy, Romance, Supernatural",TMS Entertainment,12,2015-01,Tv,81,AniList
Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi",MADHOUSE,26,2002-04,Tv,71,AniList
The Testament of Sister New Devil BURST,"Action, Ecchi, Fantasy, Romance",Production IMS,10,2015-10,Tv,64,AniList
Snow White with the Red Hair Season 2,"Drama, Fantasy, Romance",bones,12,2016-01,Tv,78,AniList
Koyomimonogatari,"Comedy, Mystery, Supernatural",Shaft,12,2016-01,Ona,74,AniList
EDENS ZERO,"Action, Adventure, Comedy, Fantasy, Sci-Fi",J.C.STAFF,25,2021-04,Tv,70,AniList
Corpse Party,"Horror, Mystery, Supernatural",Asread,4,2013-07,Ova,59,AniList
Eureka Seven,"Action, Adventure, Drama, Mecha, Romance, Sci-Fi",bones,50,2005-04,Tv,77,AniList
Welcome to the Ballroom,"Drama, Romance, Sports",Production I.G,24,2017-07,Tv,79,AniList
Tada Never Falls In Love,"Comedy, Romance, Slice of Life",Doga Kobo,13,2018-04,Tv,73,AniList
NANBAKA,"Action, Comedy, Drama",Satelight,13,2016-10,Tv,70,AniList
Amagami SS,"Comedy, Romance, Slice of Life",AIC,25,2010-07,Tv,69,AniList
LAZARUS,"Action, Sci-Fi",Adult Swim,13,2025-04,Tv,71,AniList
Tokyo Godfathers,"Adventure, Comedy, Drama",MADHOUSE,1,2003-11,Movie,81,AniList
Zoku Owarimonogatari,"Drama, Mystery, Supernatural",Shaft,6,2019-02,Ova,84,AniList
I Can't Understand What My Husband Is Saying,"Comedy, Romance, Slice of Life",Seven,13,2014-10,Tv Short,70,AniList
"So, I Can't Play H!","Comedy, Ecchi, Romance, Supernatural",NBCUniversal Entertainment Japan,12,2012-07,Tv,60,AniList
Bubble,"Romance, Sci-Fi, Sports, Supernatural",WIT STUDIO,1,2022-04,Ona,71,AniList
Waiting in the Summer,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",J.C.STAFF,12,2012-01,Tv,71,AniList
When Marnie Was There,"Drama, Mystery, Psychological",Studio Ghibli,1,2014-07,Movie,78,AniList
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,11,2023-01,Tv,82,AniList
Chaika -The Coffin Princess-,"Action, Adventure, Comedy, Fantasy",bones,12,2014-04,Tv,69,AniList
SPY x FAMILY CODE: White,"Action, Adventure, Comedy, Slice of Life, Supernatural",WIT STUDIO,1,2023-12,Movie,81,AniList
Chained Soldier,"Action, Adventure, Drama, Ecchi, Fantasy, Romance",Seven Arcs,12,2024-01,Tv,67,AniList
Osamake: Romcom Where The Childhood Friend Won't Lose,"Comedy, Romance",Doga Kobo,12,2021-04,Tv,58,AniList
Sweetness & Lightning,Slice of Life,TMS Entertainment,12,2016-07,Tv,74,AniList
